año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2023,ALCALDIA,VERAGUAS,1213,LOS MARTIRES,-74.09628110899996,4.602877286000023,POINT (-74.09628110899996 4.602877286000023),SANTA ISABEL
2023,ALCALDIA,ARBOLEDA SUR,1213,SAN CRISTOBAL,-74.09111476899994,4.579195660000039,POINT (-74.09111476899994 4.579195660000039),SOSIEGO
2023,ALCALDIA,LA FLORA,1204,USME,-74.09120984199996,4.513289875000055,POINT (-74.09120984199996 4.513289875000055),LA FLORA
2023,ALCALDIA,LA FRANCIA,1195,PUENTE ARANDA,-74.10746026399994,4.620199921000051,POINT (-74.10746026399994 4.620199921000051),SAN RAFAEL
2023,ALCALDIA,LICEO EL CASTILLO,1192,KENNEDY,-74.14992682599996,4.643894623000051,POINT (-74.14992682599996 4.643894623000051),CASTILLA
2023,ALCALDIA,MARGARITA BOSCO,1181,ENGATIVA,-74.10595588499996,4.676707799000042,POINT (-74.10595588499996 4.676707799000042),SANTA CECILIA
2023,ALCALDIA,COLEGIO CAMPESTRE MONTEVERDE SAN LUIS,1181,CHAPINERO,-74.02153895199996,4.670209741000065,POINT (-74.02153895199996 4.670209741000065),SAN ISIDRO - PATIOS
2023,ALCALDIA,CENTRO COMERCIAL CIUDAD TINTAL,1179,KENNEDY,-74.15974955799999,4.652774051000051,POINT (-74.15974955799999 4.652774051000051),TINTAL NORTE
2023,ALCALDIA,VILLA MAYOR LA NUEVA,1161,RAFAEL URIBE URIBE,-74.12704196399994,4.589394040000059,POINT (-74.12704196399994 4.589394040000059),QUIROGA
2023,ALCALDIA,CENTENARIO,1161,RAFAEL URIBE URIBE,-74.11268452199994,4.584835381000062,POINT (-74.11268452199994 4.584835381000062),QUIROGA
2023,ALCALDIA,VILLA RICA,1154,KENNEDY,-74.16641358299995,4.611437642000055,POINT (-74.16641358299995 4.611437642000055),TIMIZA
2023,ALCALDIA,SANTA TERESA CENTRO,1152,FONTIBON,-74.142523,4.673794,POINT (-74.142523 4.673794),FONTIBON
2023,ALCALDIA,SANTA CECILIA,1149,ENGATIVA,-74.11305605299998,4.677248620000057,POINT (-74.11305605299998 4.677248620000057),SANTA CECILIA
2023,ALCALDIA,VIRGINIA GUTIERREZ DE PINEDA - IED,1144,SUBA,-74.09174548699997,4.731055911000055,POINT (-74.09174548699997 4.731055911000055),EL RINCON
2023,ALCALDIA,REINO DE HOLANDA,1136,RAFAEL URIBE URIBE,-74.11530818399996,4.567280720000042,POINT (-74.11530818399996 4.567280720000042),MARCO FIDEL SUAREZ
2023,ALCALDIA,BENJAMIN HERRERA,1124,BARRIOS UNIDOS,-74.07567930199997,4.652273764000029,POINT (-74.07567930199997 4.652273764000029),LOS ALCAZARES
2023,ALCALDIA,ESTACION DE LA SABANA,1108,LOS MARTIRES,-74.08335137199998,4.607028938000042,POINT (-74.08335137199998 4.607028938000042),LA SABANA
2023,ALCALDIA,BRASILIA,1105,USME,-74.11643953199996,4.51760874100006,POINT (-74.11643953199996 4.51760874100006),GRAN YOMASA
2023,ALCALDIA,ALFONSO LOPEZ,1104,USME,-74.100862,4.497976,POINT (-74.100862 4.497976),ALFONSO LOPEZ
2023,ALCALDIA,COLEGIO COOPERATIVO VENECIA,1101,TUNJUELITO,-74.14062678999994,4.592878914000039,POINT (-74.14062678999994 4.592878914000039),VENECIA
2023,ALCALDIA,COLEGIO ESCLAVAS DEL SAGRADO CORAZON,1099,USAQUEN,-74.04309304199995,4.755656316000056,POINT (-74.04309304199995 4.755656316000056),LA URIBE
